IDImp;nr articolo;budget/consuntivo;Nr. Ordine di produzione;Descrizione;Nr. Area di produzione;Risorsa;Tempo risorsa;Quantità di output
1;ART0000788;BUDGET;ODP16-16812;Montaggio;A40;RIS4;0.25;1
2;ART0000756;BUDGET;ODP16-15232;Montaggio;A40;RIS4;1;2
3;ART0000772;BUDGET;ODP16-15712;Montaggio;A40;RIS4;1.25;1
4;ART0000762;BUDGET;ODP16-14704;Montaggio;A40;RIS4;3;10
5;ART0000762;BUDGET;ODP16-14704;Controllo qualità;CQ;RIS16;0;10
6;ART0000772;BUDGET;ODP16-15712;Controllo qualità;CQ;RIS16;0;1
7;ART0000788;BUDGET;ODP16-16812;Controllo qualità;CQ;RIS16;0;1
8;ART0000756;BUDGET;ODP16-15232;Controllo qualità;CQ;RIS16;0;2
9;ART0003578;BUDGET;ODP16-16560;Controllo qualità;CQ;RIS16;0;10
10;ART0003580;BUDGET;ODP16-16560;Controllo qualità;CQ;RIS16;0;10
11;ART0000645;BUDGET;ODP16-16561;Controllo qualità;CQ;RIS16;0;23
12;ART0002513;BUDGET;ODP16-15976;Tornitura;A20;RIS14;2.5;7
13;ART0001180;BUDGET;ODP16-14655;Controllo qualità;CQ;RIS16;0;5
14;ART0002145;BUDGET;ODP16-17333;Tornitura;A20;RIS2;1;1
15;ART0001253;BUDGET;ODP16-15711;Tornitura;A20;RIS2;1;1
16;ART0002740;BUDGET;ODP16-16942;Fresatura;A30;RIS7;4.75;40
17;ART0001926;BUDGET;ODP16-14758;Fresatura;A30;RIS7;1;3
18;ART0002513;BUDGET;ODP16-15976;Fresatura;A30;RIS7;1.5;7
19;ART0001926;BUDGET;ODP16-14758;Saldatura;A11;RIS1;1;12
20;ART0002145;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.5;1
21;ART0005136;BUDGET;ODP16-16477;Fresatura;A30;RIS9;0.75;0
22;ART0001779;BUDGET;ODP16-14652;Tornitura;A20;RIS14;2.5;8
23;ART0001253;BUDGET;ODP16-15711;Fresatura;A30;RIS7;0.5;1
24;ART0001779;BUDGET;ODP16-14652;Fresatura;A30;RIS7;2.25;8
25;ART0002551;BUDGET;ODP16-15980;Tornitura;A20;RIS2;2.25;3
26;ART0000756;BUDGET;ODP16-15977;Montaggio;A40;RIS4;1.5;5
27;ART0001743;BUDGET;ODP16-15980;Fresatura;A30;RIS7;5;0
28;ART0002366;BUDGET;ODP16-16942;Tornitura;A20;RIS2;2;4
29;ART0002366;BUDGET;ODP16-16942;Tornitura;A20;RIS2;0.25;0
30;ART0001920;BUDGET;ODP16-14653;Controllo qualità;CQ;RIS16;0;2
31;ART0001891;BUDGET;ODP16-14652;Controllo qualità;CQ;RIS16;0;8
32;ART0001884;BUDGET;ODP16-16047;Controllo qualità;CQ;RIS16;0;7
33;ART0001743;BUDGET;ODP16-15980;Fresatura;A30;RIS7;3.75;3
34;ART0000825;BUDGET;ODP16-14653;Montaggio;A40;RIS4;1.5;2
35;ART0000825;BUDGET;ODP16-14653;Controllo qualità;CQ;RIS16;0;2
36;ART0000756;BUDGET;ODP16-15977;Controllo qualità;CQ;RIS16;0;5
37;ART0002366;BUDGET;ODP16-16942;Fresatura;A30;RIS7;1.5;4
38;ART0001017;BUDGET;ODP16-16663;Montaggio;A40;RIS4;0.45;1
39;ART0001017;BUDGET;ODP16-15843;Montaggio;A40;RIS4;0.45;1
40;ART0003935;BUDGET;ODP16-16479;Tornitura;A20;RIS14;0.5;1
41;ART0003935;BUDGET;ODP16-16479;Tornitura;A20;RIS14;2;0
42;ART0005136;BUDGET;ODP17-00172;Tornitura;A20;RIS2;0.25;1
43;ART0005136;BUDGET;ODP17-00172;Tornitura;A20;RIS2;0.25;1
44;ART0001017;BUDGET;ODP16-16663;Controllo qualità;CQ;RIS16;0;1
45;ART0001017;BUDGET;ODP16-15843;Controllo qualità;CQ;RIS16;0;1
46;ART0005136;BUDGET;ODP17-00172;Controllo qualità;CQ;RIS16;0;1
47;ART0005136;BUDGET;ODP17-00172;Controllo qualità;CQ;RIS16;0;1
48;ART0002551;BUDGET;ODP16-15980;Fresatura;A30;RIS7;2;0
49;ART0002551;BUDGET;ODP16-15980;Fresatura;A30;RIS7;2.5;3
50;ART0003782;BUDGET;ODP16-16560;Controllo qualità;CQ;RIS16;0;4
51;ART0005136;BUDGET;ODP16-16477;Tornitura;A20;RIS2;1.5;1
52;ART0005136;BUDGET;ODP16-16477;Fresatura;A30;RIS9;0.75;1
53;ART0003613;BUDGET;ODP16-16560;Tornitura;A20;RIS2;1;4
54;ART0002012;BUDGET;ODP16-17338;Tornitura;A20;RIS1;0.5;2
55;ART0003613;BUDGET;ODP16-16560;Controllo qualità;CQ;RIS16;0;4
56;ART0000308;BUDGET;ODP16-16945;Tornitura;A20;RIS14;2.5;10
57;ART0002144;BUDGET;ODP16-17333;Tornitura;A20;RIS1;0.5;1
58;ART0002132;BUDGET;ODP16-17333;Tornitura;A20;RIS1;0.5;1
59;ART0001817;BUDGET;ODP16-14758;Fresatura;A30;RIS7;3.25;0
60;ART0002102;BUDGET;ODP16-16942;Tornitura;A20;RIS14;2.5;26
61;ART0003935;BUDGET;ODP16-16479;Fresatura;A30;RIS9;1;0
62;ART0002753;BUDGET;ODP16-17337;Tornitura;A20;RIS2;2;2
63;ART0003785;BUDGET;ODP16-16557;Tornitura;A20;RIS14;2.5;30
64;ART0003785;BUDGET;ODP16-16557;Tornitura;A20;RIS14;1;0
65;ART0001188;BUDGET;ODP16-17333;Tornitura;A20;RIS2;0.5;1
66;ART0001817;BUDGET;ODP16-14758;Fresatura;A30;RIS7;0.5;3
67;ART0001214;BUDGET;ODP16-17333;Tornitura;A20;RIS14;2;1
68;ART0001214;BUDGET;ODP16-17333;Tornitura;A20;RIS14;1;0
69;ART0001188;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.25;1
70;ART0002144;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.5;1
71;ART0002132;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.5;1
72;ART0001154;BUDGET;ODP16-17335;Tornitura;A20;RIS13;1.5;29
73;ART0002145;BUDGET;ODP16-17333;Controllo qualità;CQ;RIS16;0;1
74;ART0002511;BUDGET;ODP16-17333;Tornitura;A20;RIS1;1;1
75;ART0002513;BUDGET;ODP16-15976;Controllo qualità;CQ;RIS16;0;7
76;ART0003935;BUDGET;ODP16-16479;Fresatura;A30;RIS9;0.83;1
77;ART0003785;BUDGET;ODP16-16557;Controllo qualità;CQ;RIS16;0;30
78;ART0001253;BUDGET;ODP16-15711;Controllo qualità;CQ;RIS16;0;1
79;ART0001741;BUDGET;ODP16-15711;Controllo qualità;CQ;RIS16;0;1
80;ART0002551;BUDGET;ODP16-15980;Controllo qualità;CQ;RIS16;0;3
81;ART0002102;BUDGET;ODP16-16942;Fresatura;A30;RIS7;6.25;26
82;ART0002552;BUDGET;ODP16-15980;Tornitura;A20;RIS2;1;3
83;ART0002511;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.25;0
84;ART0002511;BUDGET;ODP16-17333;Fresatura;A30;RIS7;0.25;1
85;ART0002552;BUDGET;ODP16-15980;Tornitura;A20;RIS2;0.5;0
86;ART0000308;BUDGET;ODP16-16945;Fresatura;A30;RIS2;0.25;0
87;ART0001214;BUDGET;ODP16-17333;Fresatura;A30;RIS7;1;1
88;ART0002012;BUDGET;ODP16-17338;Tornitura;A20;RIS1;1.5;0
89;ART0002996;BUDGET;ODP17-00272;Fresatura;A30;RIS9;3.75;2
90;ART0001886;BUDGET;ODP16-17386;Tornitura;A20;RIS14;4;15
91;ART0001886;BUDGET;ODP16-17386;Tornitura;A20;RIS14;3;0
92;ART0000308;BUDGET;ODP16-16945;Fresatura;A30;RIS9;0.5;0
93;ART0001886;BUDGET;ODP16-17386;Fresatura;A30;RIS7;5;0
94;ART0000308;BUDGET;ODP16-16945;Fresatura;A30;RIS9;0.75;10
95;ART0000644;BUDGET;ODP16-16561;Controllo qualità;CQ;RIS16;0;21
96;ART0000625;BUDGET;ODP16-15709;Controllo qualità;CQ;RIS16;0;5
97;ART0000630;BUDGET;ODP16-16561;Controllo qualità;CQ;RIS16;0;30
