Nr. movimento;budget/cons;Tipo movimento;Nr articolo;Tipo origine;Nr. origine;Quantità;Importo vendita in valuta locale (TOTALE VENDITA)
21621;BUDGET;Vendita;ART0001433;Cliente;C00140;4;18.8
21629;BUDGET;Vendita;ART0001610;Cliente;C00140;12;145.28
21631;BUDGET;Vendita;ART0003269;Cliente;C00140;24;933.99
21633;BUDGET;Vendita;ART0002249;Cliente;C00140;1;36.33
21634;BUDGET;Vendita;ART0002370;Cliente;C00140;1;65.72
21635;BUDGET;Vendita;ART0003099;Cliente;C00140;2;60.54
21636;BUDGET;Vendita;ART0001252;Cliente;C00140;1;220.9
21637;BUDGET;Vendita;ART0001252;Cliente;C00140;1;220.9
21640;BUDGET;Vendita;ART0001497;Cliente;C00140;1;20.68
21641;BUDGET;Vendita;ART0001497;Cliente;C00140;1;20.68
21642;BUDGET;Vendita;ART0001653;Cliente;C00140;3;50.76
21643;BUDGET;Vendita;ART0001653;Cliente;C00140;3;50.76
21644;BUDGET;Vendita;ART0001739;Cliente;C00140;1;79.9
21645;BUDGET;Vendita;ART0001739;Cliente;C00140;1;79.9
21648;BUDGET;Vendita;ART0002271;Cliente;C00140;1;150.4
21649;BUDGET;Vendita;ART0002271;Cliente;C00140;1;150.4
21652;BUDGET;Vendita;ART0002829;Cliente;C00140;3;84.6
21653;BUDGET;Vendita;ART0002829;Cliente;C00140;3;84.6
21654;BUDGET;Vendita;ART0002918;Cliente;C00140;1;117.5
21655;BUDGET;Vendita;ART0002918;Cliente;C00140;1;117.5
21656;BUDGET;Vendita;ART0002919;Cliente;C00140;1;117.5
21657;BUDGET;Vendita;ART0002919;Cliente;C00140;1;117.5
21658;BUDGET;Vendita;ART0003309;Cliente;C00140;3;28.2
21659;BUDGET;Vendita;ART0003309;Cliente;C00140;3;28.2
21660;BUDGET;Vendita;ART0003310;Cliente;C00140;5;37.6
21661;BUDGET;Vendita;ART0003310;Cliente;C00140;5;37.6
21668;BUDGET;Vendita;ART0001180;Cliente;C00140;5;180.95
21669;BUDGET;Vendita;ART0001566;Cliente;C00140;15;63.45
21676;BUDGET;Vendita;ART0000849;Cliente;C00140;2;690.9
21677;BUDGET;Vendita;ART0000762;Cliente;C00140;10;3365.2
21678;BUDGET;Vendita;ART0000795;Cliente;C00140;8;1767.2
21679;BUDGET;Vendita;ART0000772;Cliente;C00140;1;374.12
21680;BUDGET;Vendita;ART0000756;Cliente;C00140;2;545.2
21681;BUDGET;Vendita;ART0000788;Cliente;C00140;1;310.2
21740;BUDGET;Vendita;ART0005136;Cliente;C00461;2;95
21748;BUDGET;Vendita;ART0004386;Cliente;C00004;50;325
21751;BUDGET;Vendita;ART0000635;Cliente;C00004;12;180
21815;BUDGET;Vendita;ART0005136;Cliente;C00455;1;16
21816;BUDGET;Vendita;ART0005136;Cliente;C00455;1;16
21818;BUDGET;Vendita;ART0002214;Cliente;C00140;1;89.3
